Date,Close,High,Low,Open,Volume
2021-01-11,148.6208953857422,149.25420704414387,146.73830198518036,147.69261810428694,4553100
2021-01-12,149.47976684570312,150.65964247277608,148.32591681616663,148.60352760250268,3406600
2021-01-13,148.70765686035156,149.9569386079725,148.23916958607205,149.47109652113068,2953900
2021-01-14,148.96792602539062,149.68798527333746,147.7880502907461,148.43871676416381,3416300
2021-01-15,146.78167724609375,148.43002695269004,145.3762419544097,148.33459534412862,3734600
2021-01-19,151.11947631835938,151.56192480402495,148.51681013430223,148.51681013430223,6277800
2021-01-20,150.37330627441406,151.97827504473742,149.90481917201683,151.6833095286138,4329500
2021-01-21,151.90895080566406,152.22994205692618,149.31495547992316,151.3190062695169,3583900
2021-01-22,149.92222595214844,152.2125713638727,149.87017475335702,151.3797257075237,3736800
2021-01-25,150.01766967773438,151.44914394931752,148.07434092624155,150.408066938041,5401900
2021-01-26,148.7597198486328,151.19754831201348,148.61223702477412,149.28025836400596,5341900
2021-01-27,141.35076904296875,145.4196052407667,140.5786454080962,144.40456719747422,10011200
2021-01-28,146.8163604736328,148.43869767377572,143.26806293868304,145.6451689148114,6796600
2021-01-29,144.61688232421875,146.6330851136328,143.1592812310844,145.45477820958084,5969800
2021-02-01,150.52586364746094,150.99717846014,145.77774214764236,146.07449641185198,5715600
2021-02-02,152.5245819091797,153.35375436895444,150.13306149559625,151.04079750988058,4861200
2021-02-03,147.1393280029297,152.96973269330314,147.06950112232386,152.55078472778374,5019200
2021-02-04,150.12437438964844,150.2291080634716,146.6854767058705,148.34383534406837,3519800
2021-02-05,148.31764221191406,151.1542947039107,146.6854802706244,150.82263362270484,4045000
2021-02-08,152.84754943847656,153.08321351187925,149.11189763824996,149.54830568330556,4597600
2021-02-09,151.59942626953125,152.93483379946514,151.2852119496576,152.30640515971785,2777700
2021-02-10,152.18418884277344,153.73780016085198,150.66548430255665,152.91735104089972,3414600
2021-02-11,156.42613220214844,156.80143680369724,153.12688778329533,153.61566276118182,4776000
2021-02-12,156.79266357421875,157.0195909366101,154.77646077254624,155.3612458864168,2532500
2021-02-16,157.7702178955078,158.67795400820896,156.09441274680816,157.10688251939195,3887600
2021-02-17,155.82382202148438,157.29015966323158,153.9298131110676,155.64053814008705,4315100
