Date,Close,High,Low,Open,Volume
2021-01-11,101.26790618896484,102.30946273600111,100.71059191602701,101.6059556717193,3177400
2021-01-12,99.44060516357422,101.15825335860882,98.98378502157944,100.97552111949759,5777100
2021-01-13,102.46477508544922,103.15000540438375,98.90157603288496,99.66903064424048,6047100
2021-01-14,100.94203186035156,102.42809481472096,100.67600785625179,102.01529605031547,4391000
2021-01-15,102.09784698486328,102.39138947346656,100.3457602257651,100.90532668819715,4480100
2021-01-19,103.26284790039062,103.77654553630094,101.38233662826758,102.50146961959112,6820300
2021-01-20,103.5563735961914,104.14345851296079,102.73995841510259,103.33621850205395,2952100
2021-01-21,103.61141967773438,104.15264278811588,101.14383057699281,102.96929768094769,5028100
2021-01-22,103.5105209350586,104.1251314585116,102.50146901393751,103.65729568651166,4163900
2021-01-25,105.2350845336914,105.85886320207234,103.66646619083753,103.71232804964778,4689300
2021-01-26,105.24427795410156,105.60203270843897,104.38199367513126,104.80396064182138,4142400
2021-01-27,104.84064483642578,108.04209398844549,104.11596022060826,105.67540352138658,9104900
2021-01-28,110.43629455566406,113.81203672467906,107.46417593902638,108.16134198442215,11296300
2021-01-29,113.37171936035156,114.40829675533583,109.8125157616168,110.3078700302756,10995100
2021-02-01,112.40853118896484,114.50002222845055,112.37183750423293,113.05065317526142,8337100
2021-02-02,110.2987060546875,113.49098711053574,110.28953788110762,113.19744458804671,7277000
2021-02-03,110.28034973144531,110.89495322204978,109.06948609384332,109.84003250022415,4991900
2021-02-04,109.84003448486328,110.87661188181131,108.96858217638608,109.9225970290987,4377900
2021-02-05,113.77534484863281,114.04136883069584,110.11523529962375,110.47298999997624,5803400
2021-02-08,114.20648193359375,115.39900221507322,113.53683442198653,114.66514250360818,3456000
2021-02-09,114.80276489257812,114.92201414498615,113.3900892163171,114.50922234936844,3424500
2021-02-10,114.93119049072266,115.76594926331032,114.44501130468939,115.38985115658143,4195400
2021-02-11,116.3530044555664,116.38052996727383,114.84859841803731,115.29809079406586,3697400
2021-02-12,117.62808990478516,117.9124572284027,115.81179790439451,115.95857265116817,3658700
2021-02-16,117.43545532226562,117.8757655467234,116.36218427811454,117.86659737439228,5174000
