Date,Close,High,Low,Open,Volume
2021-01-11,619.754638671875,635.7028350235055,618.3105575772868,633.014508247403,502400
2021-01-12,614.4326171875,619.1825476386189,600.0737339761492,618.7920231774559,412300
2021-01-13,626.7752075195312,628.1012168822064,616.4670243723242,618.9010256726755,455300
2021-01-14,626.3663940429688,629.281773771875,622.0796611090084,625.8033071818612,530100
2021-01-15,642.7958984375,644.7031207654562,627.3290271375423,627.5197715434743,549800
2021-01-19,650.5702514648438,656.6280083538853,646.3198271003062,651.0334483294847,558500
2021-01-20,660.942138671875,667.1089331312381,649.3715275948957,652.3050343796424,456100
2021-01-21,653.8217163085938,662.1590942269579,650.969917868461,660.4697781000862,318300
2021-01-22,654.9660034179688,662.0228269084239,654.0759735841634,654.0759735841634,484900
2021-01-25,656.7823486328125,661.9591664097852,653.3220642728562,661.5959149894627,315700
2021-01-26,667.7537841796875,668.4440341711874,653.5039356360878,655.0751800955371,369900
2021-01-27,664.5385131835938,669.6426585122372,662.9945422042208,669.6426585122372,492700
2021-01-28,670.46923828125,678.8247986619186,657.6452909731978,662.0864603692717,450100
2021-01-29,672.0404663085938,677.0719400453911,659.6887517817898,666.1461247873924,487800
2021-02-01,687.261962890625,689.8413086287029,664.3568893620796,670.2239571720107,343800
2021-02-02,698.0244140625,699.6410023902982,688.6789337356537,690.3227950277311,575800
2021-02-03,685.6002807617188,695.6905044081889,677.4263714409959,693.9648791562214,320100
2021-02-04,678.3524169921875,690.2591152196451,673.9022126559669,690.2591152196451,421100
2021-02-05,685.05517578125,686.8715996917806,672.9396593404115,680.3597354937287,378200
2021-02-08,678.8065795898438,685.2912253610743,671.3138319910191,682.0852664256901,371700
2021-02-09,681.5857543945312,685.9361248496401,674.4290956584604,682.4576577697658,299700
2021-02-10,682.06689453125,688.8966633308426,679.5511307236992,687.4616735175589,465800
2021-02-11,651.8236083984375,688.9876190748179,645.8293773649258,680.4776790942135,798600
2021-02-12,644.6578369140625,657.699745490578,635.7664630530983,645.9474821916225,638700
2021-02-16,624.9314575195312,657.5453175971935,621.6436799333261,657.2183746658075,617200
2021-02-17,630.689453125,636.03883341776,621.8071713980887,623.2421059927954,561700
2021-02-18,622.6337280273438,629.3181540936099,619.963582909453,629.3181540936099,964800
2021-02-19,617.78369140625,636.0932689999945,612.3707855416958,630.9618510919803,727300
2021-02-22,606.086181640625,615.486153065257,601.3725594452959,615.486153065257,810600
2021-02-23,600.9326171875,608.6583717267448,596.7276893897515,604.8091898395961,871300
2021-02-24,582.8540649414062,602.7021246363346,581.5132536743308,600.9051903535164,1076000
2021-02-25,582.2794189453125,587.788692443605,569.199438637005,581.0297988709113,1367300
2021-02-26,591.3733520507812,602.2368502917843,583.7661252355047,587.2596162294482,978600
2021-03-01,591.3003540039062,600.8139107072997,585.5903827967971,592.2672144028169,935100
2021-03-02,583.8118286132812,592.2855959695917,574.1158318830849,589.8228210396202,820400
2021-03-03,557.6244506835938,582.0969845430479,555.7271949238121,575.3198304186458,631400
2021-03-04,550.5371704101562,572.0726582096556,549.3240156205638,561.6652253464919,942600
2021-03-05,556.912841796875,562.3126624845506,535.1766609290818,553.0727354843184,864300
2021-03-08,542.647216796875,561.5831440536564,541.8354591400501,551.8871467264553,1030000
2021-03-09,567.9953002929688,574.4714330396879,553.5744559287216,558.1351284749386,765800
2021-03-10,582.5803833007812,588.8923391786323,571.0145231909911,578.849728270831,1029700
2021-03-11,597.07421875,603.0942849060228,584.6600243991661,584.6600243991661,731600
2021-03-12,609.3057861328125,610.5827965762489,586.3382483601548,587.8614972372523,718100
2021-03-15,610.7196655273438,616.1560073868582,604.0610945698993,604.0610945698993,587400
2021-03-16,612.34326171875,622.1487074695775,610.2818288672918,614.2039960331686,289000
2021-03-17,598.7706909179688,609.6797836755758,595.9339660446777,607.8281796295581,470100
2021-03-18,589.9960327148438,595.979633401161,583.0090505756892,591.7017199451622,573800
2021-03-19,595.6786499023438,604.6266885559043,589.9778083628103,592.960506471424,668900
2021-03-22,608.1109008789062,610.7925783102202,592.6410810181765,592.6410810181765,479700
2021-03-23,616.3931884765625,623.7541210450935,602.5560671386451,614.8790139328214,436900
2021-03-24,604.143310546875,616.3750121523854,600.3032034887059,612.0149816441351,529100
2021-03-25,609.4154052734375,611.3217912107937,597.7856883453078,608.8407559832062,386500
2021-03-26,623.5626220703125,623.9457030392741,602.4466824223751,605.931043504253,401000
