Date,Close,High,Low,Open,Volume
2021-05-14,126.64450073242188,127.77625590612682,126.4976330486143,127.17150274261618,4224700
2021-05-17,126.28164672851562,127.34428535400937,125.88424316310564,126.9987158899459,3747100
2021-05-18,125.71143341064453,126.95550445633138,125.5472964993801,126.68768616950717,4527300
2021-05-19,125.64232635498047,125.81512426639084,124.47601954873927,124.95982206237679,4432700
2021-05-20,127.1974105834961,127.62937898081536,125.36586879730376,125.48681942124799,3964600
2021-05-21,127.0851058959961,128.13046201986765,126.5840209805571,127.75032772659469,5194200
2021-05-24,127.73310089111328,128.1650694254997,127.00738373454267,127.55166830631225,3627800
2021-05-25,128.12185668945312,128.18232542304617,127.00737060368436,127.73308768522557,4649300
2021-05-26,128.12185668945312,128.44150915340856,127.58620679800222,127.78492179477162,4462600
2021-05-27,126.5754165649414,128.52792279830607,126.51494782444473,128.34649021154877,9203600
2021-05-28,127.81082153320312,128.29462406692826,127.2060683660467,127.35293605073966,4913700
2021-06-01,127.54297637939453,128.59698018436958,127.07644318958454,128.53649828906447,5530300
2021-06-02,128.05271911621094,128.32053742663052,127.19741690129004,128.03543668832356,4546900
2021-06-03,128.50958251953125,128.58790169034467,127.19551218644798,127.67415147298065,4651600
2021-06-04,128.65756225585938,129.31024876886062,128.3355744920399,128.7968052322455,4427400
2021-06-07,128.57923889160156,129.0143632194919,127.6741861323235,128.58793659774074,4724100
2021-06-08,127.3782958984375,128.6836689272108,126.98668664559374,128.53572824408943,5997200
2021-06-09,127.143310546875,128.4399723070855,127.073689073739,128.1440910054612,4008000
2021-06-10,128.4486846923828,128.80547648755856,127.16941832729141,127.3260566843532,4698200
2021-06-11,128.52703857421875,128.90123915864012,127.74380674061598,128.84032865187146,4364600
2021-06-14,129.29283142089844,129.34504420844982,127.74377680955386,128.33555271932687,3831900
2021-06-15,129.30152893066406,129.81497237939612,128.85770695820838,129.58000155683072,4256500
2021-06-16,128.01356506347656,129.90200279469204,127.70897276404808,129.54519770769042,5492100
2021-06-17,129.24928283691406,129.66699830799226,127.8481825253817,128.14406376410645,5316400
2021-06-18,126.55155181884766,128.77938614543126,126.38620245760372,128.77938614543126,10661700
2021-06-21,127.54364013671875,127.70029179891198,126.57766360317235,126.83874085420068,4904300
2021-06-22,127.735107421875,128.36168756927427,127.30868076410718,127.69159232962248,3518000
2021-06-23,126.05553436279297,127.16945167939069,126.03812567001874,127.10852789415179,3901700
2021-06-24,126.76911926269531,127.00409011631845,125.84665781824818,126.06421998076648,3818900
2021-06-25,127.41309356689453,127.74377898666874,126.39490435547316,126.84742404125662,6387600
2021-06-28,127.9613265991211,128.4399659037322,127.59582384258287,127.71765809476229,4282800
2021-06-29,127.87429809570312,128.53568207898562,127.40435653792275,128.31811998566337,3197700
2021-06-30,128.94473266601562,129.06656693809978,128.10059046695412,128.30074392560527,4943700
2021-07-01,128.97080993652344,129.7366327760749,128.7445501334454,128.86638437801614,3997600
2021-07-02,129.58871459960938,130.34582658786832,129.28412229592826,129.58000361559965,3835500
2021-07-06,129.78018188476562,130.03254814364996,128.5966432218821,129.72796909181992,4313800
2021-07-07,130.3544921875,131.14642135887286,129.66700184594785,129.91936802023173,4225000
2021-07-08,130.4154510498047,131.1203502658931,129.8323861021891,130.03253955490746,4216000
2021-07-09,130.08473205566406,130.8070398485761,129.8149571660455,130.02382157039727,4088600
2021-07-12,130.11087036132812,130.3545389200395,129.47559256746922,130.09347494923483,4873700
2021-07-13,133.11322021484375,133.93995365773216,131.1899651320325,131.53805923042594,8750800
2021-07-14,134.48822021484375,135.0103747152031,132.9739960658946,133.05231525726632,6390300
2021-07-15,135.10610961914062,135.20183750655016,133.37430993925582,134.07922253505762,4920600
2021-07-16,135.6021270751953,136.4897709806371,134.98424480005377,135.48027953792555,5852500
2021-07-19,135.584716796875,137.09894066424354,134.6796509350809,135.75006613387228,5750200
2021-07-20,135.6021270751953,136.91619752426652,135.37585396762375,135.93281247413043,5213500
2021-07-21,135.09739685058594,135.86320658554067,134.51433188462164,135.14960964172607,4905900
2021-07-22,135.0538787841797,135.5499135680025,133.99217445796447,135.0538787841797,3333500
2021-07-23,136.78562927246094,137.31648129709257,135.09735862784925,135.375831194789,3588400
2021-07-26,136.68994140625,137.0380355026643,135.78487550927113,136.44625960403368,2999800
2021-07-27,137.4470672607422,138.07364732076536,136.6551378405823,136.89880638848692,4043900
2021-07-28,136.1852264404297,137.46449311614023,135.6804805913314,137.1512030470082,3556800
2021-07-29,136.4636993408203,137.00324929670265,135.9328470916987,136.82920220889625,3055600
2021-07-30,136.5854949951172,137.15116446915775,136.29831140594666,136.95099775980572,3757300
2021-08-02,136.0372772216797,136.7247678219457,135.33236465112898,136.6290399379653,3425900
2021-08-03,136.3418426513672,136.75955824926288,136.02855263321055,136.62902627458905,3359900
2021-08-04,134.06179809570312,136.3331474493091,133.90514644427873,135.92412954923503,4846300
2021-08-05,134.2880859375,135.05390910643416,133.90517435303292,134.8711510215049,3733500
2021-08-06,134.30545043945312,134.6796509145473,133.70497685947586,133.8181134119174,3430900
2021-08-09,134.3228759765625,134.70577420412934,133.76591740680922,134.57524222642925,2636600
2021-08-10,134.39248657226562,135.15830959891824,133.85293668290947,134.28806098824572,2670200
2021-08-11,134.92330932617188,135.7761623394416,134.4272746313335,134.63613903275532,3058000
2021-08-12,134.949462890625,135.14961635959108,134.5404449677767,135.0886925809394,1958700
2021-08-13,136.21131896972656,136.34185095234764,134.8015071627176,134.97556751146604,2113800
2021-08-16,137.54278564453125,137.6036961378329,136.39405118746973,136.56809824125327,3224000
2021-08-17,137.4122314453125,137.89087077124762,136.8378775331285,137.4209424287447,3736300
2021-08-18,136.00244140625,137.67331701740775,135.93281992925105,137.2207840563841,3419200
2021-08-19,138.29119873046875,138.73502070561804,135.56731654998165,135.60213392780057,4745600
2021-08-20,137.80384826660156,138.9177652275416,137.71681810945972,138.3085806854239,3484100
2021-08-23,137.3687744140625,137.9518394997067,136.90754362573287,137.35136572046255,3102100
2021-08-24,135.66302490234375,137.28168748562973,135.48026689243568,137.28168748562973,3760800
2021-08-25,135.06256103515625,135.47157888184464,134.15750846140324,135.20180397848378,3346700
2021-08-26,134.56654357910156,135.47159626901401,134.09660190479076,135.33235330781528,3220700
2021-08-27,134.83631896972656,135.2453368702836,134.20104121566678,134.7492887989503,4166500
