Date,Close,High,Low,Open,Volume
2021-03-25,141.39962768554688,141.81866341224415,140.23853759284523,141.809938219092,6269800
2021-03-26,143.9836883544922,144.13210987563482,140.884553213864,141.50437491362771,7619200
2021-03-29,144.9527130126953,145.81698660902282,142.84879605584254,143.02339314939945,8535100
2021-03-30,144.0535125732422,144.62096972819668,143.37257464401935,144.06225108573426,7236300
2021-03-31,143.4773712158203,144.38528418956523,142.9099139514372,144.00990106530608,8281500
2021-04-01,142.150390625,143.03211458287845,141.6527749344906,141.94960463873144,7229700
2021-04-05,142.67420959472656,143.82657458329862,142.0020100056328,142.85754523232907,7387100
2021-04-06,142.63926696777344,143.62575982998342,142.29879798396087,143.24163824395816,5074200
2021-04-07,142.83132934570312,143.41623692331237,142.57816556350667,142.77895155082828,4608000
2021-04-08,142.2726287841797,143.26784697625664,142.16787318108922,143.17181656645508,5039400
2021-04-09,140.7710418701172,142.2376733076607,139.48773270181502,141.53054648449486,8418300
2021-04-12,141.11154174804688,141.4956633956229,139.97664051318299,140.63138968857683,5022800
2021-04-13,139.2258758544922,139.6187227376706,136.65053148598105,136.93862275255387,18424100
2021-04-14,139.61001586914062,139.77588783114427,137.53227372767898,137.78545092891906,7718300
2021-04-15,140.0203094482422,141.7663074528694,139.88062641085418,140.3084007175146,7524600
2021-04-16,141.63536071777344,141.8710608536617,140.16871548993157,140.8496536354236,9049400
2021-04-19,142.0281982421875,142.394856194767,140.41314489117408,141.86232631392156,8353500
2021-04-20,145.3368377685547,146.48046407523802,140.55280803245847,140.55280803245847,14050700
2021-04-21,145.43287658691406,145.71224261556574,144.29797540710112,145.24081577244237,6333200
2021-04-22,144.20196533203125,145.16226953979043,143.7130880338656,144.77814785668676,7233000
2021-04-23,144.498779296875,144.97019283397387,143.17181726070265,143.63450560447026,6015300
2021-04-26,143.27658081054688,144.4027568953123,142.96230066141544,144.22815977266296,6027800
2021-04-27,142.4559326171875,143.09323130909755,141.83611095140066,142.96227350131008,6217700
2021-04-28,141.4083709716797,142.47343079235827,141.12027970993148,142.17661433634154,7448000
2021-04-29,143.34640502929688,143.39878282768174,141.25993836123533,141.3385050588126,6394300
2021-04-30,142.06312561035156,143.45992935906943,141.87980327738836,143.30278260990747,9079100
2021-05-03,144.22811889648438,144.3241492848612,142.40354151732464,142.82259047800687,6594100
2021-05-04,146.46302795410156,146.53286946402434,143.75672605844366,143.89640907828925,10179500
2021-05-05,145.8519287109375,147.01300549444508,145.60747677025066,146.22731183384937,7792300
2021-05-06,146.4368438720703,146.56778838191858,145.1273454899622,145.60748424001005,5529900
2021-05-07,147.10032653808594,147.69395944402618,146.51541882632466,146.92572940815688,5316200
2021-05-10,148.6455535888672,149.74552760829494,147.73762710729096,148.32253487863886,8357500
2021-05-11,147.43206787109375,149.16932726720032,146.90826316941832,148.97726643131313,8217900
2021-05-12,146.83837890625,148.23518215680318,146.6201292309075,147.13519526769906,6758300
2021-05-13,148.37489318847656,149.02090382420658,145.76462178252126,145.76462178252126,8018600
2021-05-14,148.60186767578125,149.81533556374194,148.558215068406,149.70184144874744,5797700
2021-05-17,148.75030517578125,150.05980372946942,148.6804636544089,148.75903037061224,5722600
2021-05-18,148.8026580810547,149.60581546104768,147.9995007010617,148.3923475372346,5846000
2021-05-19,148.4796600341797,148.54950154728664,146.69873475221914,148.33125181416742,5533800
2021-05-20,149.34393310546875,149.7978829572754,148.1391903213443,148.3574400534882,4853200
2021-05-21,149.24789428710938,150.8018312268073,149.16931426407305,149.5708996098055,6501800
2021-05-24,149.81886291503906,150.52162190300896,149.13367658787195,150.12631075701708,5195100
2021-05-25,149.40603637695312,150.24055705592193,149.1073680756829,149.9243160886897,7444700
2021-05-26,148.51876831054688,149.40599332774366,147.8247889471841,149.3357160881618,5726400
2021-05-27,148.29034423828125,149.48503034449544,147.9126192052043,148.6856419299233,8114700
2021-05-28,148.6768798828125,150.22293891907398,148.60660264425343,148.91406388744778,6400800
2021-06-01,145.40908813476562,149.51142716905005,145.27732666630425,149.4675022115579,10448400
2021-06-02,145.99765014648438,146.4632252233717,145.04014769809467,145.2070545000006,6806000
2021-06-03,145.8570556640625,146.83213050962812,145.56718050274281,145.725294227099,5808800
2021-06-04,145.7955780029297,147.2010959456576,145.7077281050045,146.7091552828941,6510300
2021-06-07,144.8029022216797,146.1030107566313,144.6184362376188,145.82190186128722,5362800
2021-06-08,143.52919006347656,145.52326482866437,142.36964913227473,145.18945129506997,7746800
2021-06-09,145.46176147460938,145.62866823481627,143.76636839253348,144.05625696489088,5552600
2021-06-10,146.77064514160156,147.20986780000808,145.77799764431907,145.8219225909621,6463100
2021-06-11,144.90838623046875,146.77068653808803,144.2583316872358,146.76190690788786,7389900
2021-06-14,145.26852416992188,145.34759444986335,143.97720824705328,144.50428089459672,4931300
2021-06-15,144.4954833984375,145.6989492632358,144.40763350003814,145.1455243921475,5062900
2021-06-16,144.44276428222656,145.60231859272812,143.60824387003905,144.7677981805406,6988500
2021-06-17,145.1367645263672,145.55841460727018,143.62583721544925,144.23196674650538,5874700
2021-06-18,142.29058837890625,144.2319586958091,142.12368160094462,143.42379050084915,12993000
2021-06-21,143.92446899414062,144.29341439694264,142.52774423981631,142.98453953071876,6592300
